Pressure (bar),Pressure (psia),Temp (degC),vf (m3/kg),vg (m3/kg),hf (kJ/kg),hg (kJ/kg),sf (kJ/kgK),sg (kJ/kgK)
0.01,0.145,6.98,0.0010001,129.2,29.3,2514.2,0.1034,8.9748
0.015,0.2176,13.04,0.0010007,87.98,54.71,2525.3,0.1958,8.827
0.02,0.2901,17.51,0.0010014,67,73.48,2533.5,0.2569,8.7228
0.025,0.3626,21.08,0.0010021,54.24,88.49,2540,0.3083,8.6423
0.03,0.4351,24.1,0.0010028,45.66,101.05,2545.5,0.351,8.5768
0.04,0.5802,28.98,0.0010041,34.81,121.46,2554.4,0.4197,8.4738
0.05,0.7252,32.9,0.0010053,28.19,137.82,2561.5,0.474,8.3943
0.06,0.8702,36.16,0.0010064,23.74,151.5,2566.9,0.5191,8.3296
0.07,1.0153,39.03,0.0010075,20.53,163.43,2572.4,0.5591,8.274
0.08,1.1603,41.54,0.0010085,18.1,173.9,2576.5,0.5915,8.2279
0.09,1.3053,43.79,0.0010094,16.2,183.3,2580,0.6225,8.186
0.1,1.4504,45.84,0.0010103,14.68,191.9,2584.2,0.6488,8.1494
0.11,1.5954,47.72,0.0010111,13.4,199.7,2588,0.674,8.116
0.12,1.7405,49.45,0.001012,12.36,207.1,2590.6,0.6964,8.0855
0.14,2.0305,52.58,0.001013,10.69,220.3,2596.1,0.7371,0.80317
0.16,2.3206,55.34,0.001015,9.433,231.9,2601,0.7728,7.9852
0.18,2.6107,57.82,0.001016,8.445,242.4,2605.3,0.8045,7.9442
0.2,2.9008,60.09,0.001017,7.649,251.9,2609.3,0.8332,7.9077
0.25,3.6259,64.99,0.001002,6.204,272.6,2617.7,0.8947,7.8306
0.3,4.3511,69.12,0.001022,5.229,289.9,2624.8,0.9458,7.7678
0.4,5.8015,75.88,0.001026,3.993,318.3,2636.3,1.0279,7.6692
0.5,7.2519,81.35,0.00103,3.24,341.3,2645.4,1.093,7.5931
0.6,8.7023,85.95,0.0010033,2.732,360.6,2653,1.1471,7.5312
0.8,11.603,93.52,0.001038,2.087,392.3,2665.3,1.2344,7.4338
1,14.5038,99.64,0.001043,1.694,418,2675,1.3038,7.358
1.013,14.696,100,0.001043,1.673,419.5,2675.6,1.3079,7.354
1.2,17.4045,104.81,0.001047,1.428,439.7,2683.1,1.3617,7.2973
1.4,20.305,109.3,0.001051,1.237,458.6,2690,1.4115,7.2456
1.6,23.206,113.3,0.001054,1.091,475.5,2696,1.4553,7.2009
1.8,26.107,116.9,0.001058,0.9775,490.8,2701.4,1.4945,7.1615
2,29.008,120.2,0.001061,0.8857,504.7,2706.2,1.53,7.1263
2.5,36.259,127.4,0.001067,0.7187,535.2,2716.5,1.6068,7.0519
3,43.511,133.6,0.001073,0.6058,561.2,2724.9,1.671,6.9911
4,58.015,143.6,0.001084,0.4625,604.3,2738.1,1.7755,6.8951
5,72.519,151.9,0.001093,0.3749,639.8,2748.2,1.8594,6.8205
6,87.023,158.9,0.001101,0.3157,670.1,2756.4,1.9299,6.7592
8,116.03,170.4,0.001115,0.2404,720.7,2768.7,2.0451,6.662
10,145.04,179.9,0.001127,0.1944,762.5,2777.6,2.1387,6.5857
12,174.05,188,0.001139,0.1633,798.5,2784.4,2.216,6.5225
14,203.05,195.1,0.001149,0.1408,830.2,2789.6,2.2838,6.4685
16,232.06,201.4,0.001159,0.1238,858.8,2793.6,2.344,6.421
18,261.07,207.1,0.001168,0.1104,884.9,2796.7,2.3981,6.3786
20,290.08,212.4,0.001176,0.0996,908.9,2799.1,2.4474,6.3401
25,362.59,224,0.001197,0.08,962.4,2802.6,2.5549,6.2567
30,435.11,233.9,0.001216,0.0667,1008.7,2803.7,2.6461,6.1861
40,580.15,250.4,0.001252,0.0498,1087.6,2801,2.7968,6.0693
50,725.19,264,0.001286,0.0394,1154.5,2793.9,2.9206,5.9726
60,870.23,275.6,0.001319,0.0324,1213.7,2783.9,3.0271,5.8884
70,1015.3,285.9,0.001352,0.0274,1267.4,2771.7,3.1216,5.8125
80,1160.3,295.1,0.001385,0.0235,1317,2757.5,3.2073,5.7424
90,1305.3,303.3,0.001417,0.0205,1363.7,2743,3.287,5.678
100,1450.4,311.1,0.001453,0.018,1407.9,2724.3,3.36,5.6133
110,1595.4,318.2,0.001489,0.016,1450.2,2705.2,3.4296,5.552
120,1740.5,324.8,0.001527,0.0143,1491.2,2684.4,3.496,5.4916
130,1885.5,330.9,0.001567,0.0128,1531.1,2661.8,3.5599,5.4316
140,2030.5,336.8,0.00161,0.0115,1570.4,2637.2,3.622,5.371
160,2320.6,347.4,0.00171,0.0093,1648.9,2580.2,3.7441,5.2448
180,2610.7,357.1,0.00184,0.0075,1731.4,2508.8,3.8703,5.1039
200,2900.8,365.8,0.002041,0.00584,1828.5,2409.5,4.0172,4.9265
220.89,3203.7,374.1,0.003155,0.003155,2098.8,2098.8,4.4289,4.4289
