Pressure (psia),hg (Btu/lbm),h (Btu/lbm)
1,1105.8,1150.2
5,1131.1,1148.6
10,1143.3,1146.6
15,1150.9,1192.5
20,1156.3,1191.4
40,1169.8,1186.6
60,1177.6,1181.6
80,1183.1,1230.5
100,1187.2,1227.4
120,1190.4,1244.1
140,1193,1220.8
160,1195.1,1217.4
180,1196.9,1213.8
200,1198.3,1210.1
250,1201.1,1263.5
300,1202.9,1257.7
350,1204,1251.5
400,1204.6,1245.1
500,1204.7,1231.2
600,1203.7,1215.9
700,1201.8,1281
800,1199.4,1271.1
900,1196.4,1260.6
1000,1192.9,1249.3
1100,1189.1,1237.3
1200,1184.8,1224.2
1400,1175.3,1194.1
1600,1164.5,1279.4
1800,1152.3,1261.1
2000,1138.3,1240.9
2500,1093.3,1176.7
3000,1020.3,1060.5
3200,931.6,1250.9
